"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2025","93,045.5","94,540.5","95,906.9","92,931.9","45.81K","-1.57%"
"01/12/2025","94,533.6","94,598.0","95,383.2","93,736.6","31.61K","-0.07%"
"01/11/2025","94,596.7","94,724.0","95,009.4","93,847.8","29.16K","-0.13%"
"01/10/2025","94,724.1","92,540.5","95,760.6","92,310.6","125.42K","2.36%"
"01/09/2025","92,539.8","95,066.6","95,323.1","91,241.9","132.78K","-2.66%"
"01/08/2025","95,066.6","96,938.2","97,266.4","92,716.6","100.36K","-1.92%"
"01/07/2025","96,929.8","102,247.9","102,678.2","96,201.3","99.77K","-5.20%"
"01/06/2025","102,248.7","98,373.2","102,474.5","97,932.3","86.73K","3.97%"
"01/05/2025","98,347.7","98,220.1","98,823.1","97,300.0","31.34K","0.13%"
"01/04/2025","98,219.9","98,168.9","98,742.6","97,568.9","36.56K","0.05%"
"01/03/2025","98,167.5","96,960.2","98,963.3","96,090.6","61.62K","1.25%"
"01/02/2025","96,960.0","94,561.1","97,808.0","94,381.2","76.13K","2.54%"
"01/01/2025","94,560.2","93,557.3","95,100.0","92,939.3","43.34K","1.07%"
"12/31/2024","93,557.2","92,777.2","96,163.4","92,036.2","74.85K","0.84%"
"12/30/2024","92,779.8","93,718.7","94,936.4","91,522.3","112.43K","-1.00%"
"12/29/2024","93,716.3","95,282.6","95,315.4","93,026.7","47.71K","-1.65%"
"12/28/2024","95,284.5","94,274.9","95,684.3","94,124.7","32.97K","1.07%"
"12/27/2024","94,275.9","95,776.4","97,243.3","93,472.8","85.12K","-1.57%"
"12/26/2024","95,777.7","99,389.4","99,922.5","95,193.3","74.60K","-3.64%"
"12/25/2024","99,391.3","98,661.9","99,514.1","97,651.9","39.80K","0.73%"
"12/24/2024","98,668.1","94,852.8","99,446.6","93,566.2","69.86K","4.02%"
"12/23/2024","94,852.1","95,184.8","96,517.8","92,543.2","133.24K","-0.35%"
"12/22/2024","95,183.8","97,281.6","97,422.2","94,265.2","100.64K","-2.13%"
"12/21/2024","97,253.3","97,799.1","99,531.9","96,478.6","123.36K","-0.55%"
"12/20/2024","97,795.7","97,468.3","98,178.2","92,301.9","221.18K","0.34%"
"12/19/2024","97,466.1","100,190.5","102,778.8","95,672.2","200.57K","-2.73%"
"12/18/2024","100,197.8","106,140.7","106,477.6","100,049.3","187.49K","-5.60%"
"12/17/2024","106,138.9","106,053.4","108,244.9","105,350.6","149.37K","0.08%"
"12/16/2024","106,057.6","104,479.2","107,767.6","103,351.7","232.66K","1.55%"
"12/15/2024","104,443.0","101,417.9","105,120.9","101,234.9","133.99K","2.98%"
"12/14/2024","101,417.7","101,423.7","102,633.0","100,626.3","105.31K","-0.01%"
"12/13/2024","101,426.2","100,008.3","101,891.2","99,214.2","162.40K","1.42%"
"12/12/2024","100,009.9","101,126.3","102,495.3","99,334.5","188.96K","-1.10%"
"12/11/2024","101,126.2","96,603.2","101,877.1","95,689.5","250.02K","4.69%"
"12/10/2024","96,600.3","97,311.5","98,237.8","94,304.5","271.45K","-0.78%"
"12/09/2024","97,359.4","101,129.7","101,198.6","94,395.8","321.01K","-3.72%"
"12/08/2024","101,115.8","99,837.0","101,339.9","98,713.9","128.93K","1.28%"
"12/07/2024","99,837.0","99,757.2","100,441.8","98,969.0","118.44K","0.08%"
"12/06/2024","99,760.7","96,968.9","101,908.5","96,452.0","213.49K","2.88%"
"12/05/2024","96,970.8","98,624.8","103,719.4","92,510.4","245.79K","-1.69%"
"12/04/2024","98,635.8","95,900.1","99,030.7","94,625.3","113.77K","2.85%"
"12/03/2024","95,898.7","95,843.9","96,245.0","93,646.1","95.08K","0.05%"
"12/02/2024","95,846.6","97,199.3","98,082.0","94,510.6","95.80K","-1.39%"
"12/01/2024","97,201.4","96,404.7","97,813.9","95,721.8","42.90K","0.83%"
"11/30/2024","96,405.7","97,438.5","97,461.9","96,119.6","36.92K","-1.06%"
"11/29/2024","97,438.0","95,645.6","98,599.8","95,405.7","76.54K","1.87%"
"11/28/2024","95,645.5","95,881.4","96,549.0","94,648.8","68.17K","-0.25%"
"11/27/2024","95,886.6","91,975.5","97,219.8","91,795.5","106.39K","4.25%"
"11/26/2024","91,977.6","93,046.5","94,978.8","90,817.2","131.88K","-1.17%"
"11/25/2024","93,064.4","97,948.8","98,872.4","92,875.3","124.98K","-4.97%"
"11/24/2024","97,935.2","97,696.4","98,552.6","95,765.4","77.04K","0.24%"
"11/23/2024","97,699.0","98,927.2","98,927.2","97,180.9","72.17K","-1.24%"
"11/22/2024","98,929.7","98,381.2","99,617.4","97,182.2","132.23K","0.56%"
"11/21/2024","98,374.5","94,308.7","98,937.2","94,063.8","179.07K","4.32%"
"11/20/2024","94,303.9","92,252.6","94,836.1","91,517.4","121.46K","2.24%"
"11/19/2024","92,239.2","90,482.1","93,918.5","90,378.7","146.04K","1.95%"
"11/18/2024","90,478.7","89,843.3","92,567.1","89,410.4","150.47K","0.72%"
"11/17/2024","89,833.7","90,569.4","91,441.6","88,736.1","81.24K","-0.78%"
"11/16/2024","90,539.1","91,035.3","91,748.9","90,079.0","79.82K","-0.56%"
"11/15/2024","91,046.5","87,297.2","91,833.1","87,118.8","158.19K","4.30%"
"11/14/2024","87,294.0","90,424.8","91,726.7","86,740.2","153.34K","-3.46%"
"11/13/2024","90,422.2","87,971.2","93,226.6","86,168.4","257.57K","2.82%"
"11/12/2024","87,941.3","88,665.0","89,929.6","85,122.2","288.68K","-0.82%"
"11/11/2024","88,664.1","80,389.0","89,519.0","80,231.8","254.04K","10.29%"
"11/10/2024","80,388.5","76,681.4","81,373.5","76,520.5","193.83K","4.81%"
"11/09/2024","76,700.3","76,506.1","76,904.0","75,732.5","72.97K","0.24%"
"11/08/2024","76,517.3","75,869.8","77,188.5","75,599.0","155.17K","0.85%"
"11/07/2024","75,868.6","75,585.5","76,837.8","74,448.2","184.16K","0.37%"
"11/06/2024","75,586.3","69,374.1","76,401.4","69,323.0","357.28K","8.96%"
"11/05/2024","69,373.7","67,848.3","70,495.6","67,473.6","108.95K","2.25%"
"11/04/2024","67,848.8","68,770.3","69,483.4","66,834.0","101.31K","-1.34%"
"11/03/2024","68,769.6","69,334.8","69,383.6","67,514.2","83.16K","-0.80%"
"11/02/2024","69,325.8","69,499.3","69,896.9","69,029.0","38.72K","-0.26%"
"11/01/2024","69,507.2","70,278.7","71,598.4","68,846.0","130.46K","-1.10%"
"10/31/2024","70,281.8","72,343.7","72,685.7","69,674.5","111.29K","-2.86%"
"10/30/2024","72,347.8","72,732.5","72,907.4","71,460.0","99.05K","-0.53%"
"10/29/2024","72,730.4","69,957.2","73,569.4","69,753.2","168.60K","3.97%"
"10/28/2024","69,954.1","68,011.9","70,203.4","67,610.0","103.97K","2.87%"
